ids,probability for 1
0,0.040747315
1,0.039197072
2,0.035971884
3,0.02968403
4,0.039920736
5,0.037092045
6,0.03806021
8,0.036198486
10,0.060072813
11,0.04908156
12,0.048481237
14,0.035849027
15,0.057683356
18,0.05910846
21,0.054339215
23,0.041622307
24,0.044150572
25,0.039553005
27,0.024123961
29,0.05614077
30,0.041807525
31,0.046000995
32,0.04662253
33,0.028669702
37,0.042373806
38,0.040084578
39,0.06385046
40,0.040567692
41,0.04059976
42,0.03206279
44,0.04459552
45,0.03312574
47,0.048254866
49,0.02755119
51,0.046556886
52,0.030215705
53,0.047981482
54,0.07472396
55,0.04160825
56,0.03902682
57,0.07472396
59,0.048683528
60,0.041418646
62,0.044454467
63,0.061828654
67,0.044409502
68,0.03073477
69,0.034097057
70,0.033928707
71,0.042455148
73,0.054693107
75,0.027508551
76,0.03467509
81,0.036124133
82,0.040723305
83,0.045283355
86,0.048376966
87,0.052900318
88,0.051239178
91,0.04185392
92,0.03875703
94,0.03638558
97,0.04081061
100,0.043644432
102,0.038691975
103,0.046512187
105,0.044079587
106,0.06480279
108,0.047406606
113,0.05750699
114,0.04346775
115,0.031016001
118,0.055016465
122,0.036318492
124,0.061113507
126,0.049246367
128,0.043528747
129,0.051332407
130,0.034716953
131,0.035956584
132,0.038660824
133,0.034023996
134,0.048442982
135,0.048695367
136,0.03218085
139,0.03778575
140,0.04169201
141,0.05577315
146,0.041586306
148,0.050463296
151,0.04315914
152,0.05701325
154,0.03851711
157,0.037255265
158,0.03072659
159,0.0464165
161,0.03700492
164,0.032409973
165,0.07472396
167,0.049776286
168,0.041547466
169,0.03821841
171,0.043826133
172,0.06335854
173,0.029185183
174,0.035294734
175,0.038971234
176,0.03249208
178,0.04992599
179,0.03459233
180,0.026504882
181,0.033483274
182,0.06433199
183,0.045016773
184,0.07472396
185,0.038011406
187,0.03708986
188,0.026617272
190,0.0405961
191,0.045239
192,0.045196235
195,0.045230057
196,0.041084398
198,0.06185152
201,0.046073377
202,0.054890838
203,0.030892875
204,0.041238267
207,0.04165771
213,0.030249523
219,0.025676098
220,0.041491356
222,0.057372347
226,0.027158307
228,0.050055444
230,0.03453462
231,0.033209343
232,0.053119753
233,0.047496986
234,0.027424613
236,0.035014495
237,0.037392113
238,0.07472396
240,0.0433124
241,0.039360743
242,0.043627344
243,0.056405056
245,0.033163086
246,0.03529549
247,0.036294457
249,0.07472396
250,0.028246721
251,0.040052895
252,0.03405298
253,0.026821444
254,0.049044363
255,0.061242804
256,0.03862745
257,0.04153459
258,0.03964296
259,0.07472396
260,0.03603556
262,0.040477753
267,0.031688932
268,0.036150772
270,0.023842076
272,0.03779068
273,0.030658126
274,0.025974266
275,0.051121257
276,0.03948412
277,0.049703877
278,0.07472396
279,0.05211685
281,0.04723564
282,0.04138633
283,0.040498007
287,0.030594824
288,0.04896454
289,0.042753816
290,0.05089899
291,0.036452442
292,0.06128485
293,0.052154712
294,0.042123497
295,0.042308107
296,0.057234704
297,0.056816828
298,0.049660064
299,0.0370467
300,0.055009093
303,0.04223163
304,0.06197456
308,0.037170976
314,0.053283487
315,0.032210033
317,0.03898455
318,0.04659666
320,0.06249124
322,0.053765673
323,0.04644847
327,0.03783794
329,0.06506756
331,0.034361567
332,0.074652575
333,0.05736068
334,0.042486817
335,0.0440202
336,0.060063604
337,0.031381313
341,0.05244795
343,0.032501597
345,0.040983263
347,0.049994733
348,0.050591234
349,0.046287794
352,0.028898345
353,0.032577164
354,0.046839163
355,0.038182825
356,0.04201392
357,0.038756423
358,0.038496565
359,0.038974285
361,0.042019878
362,0.033207472
365,0.043163694
366,0.050181057
368,0.04206499
369,0.038195424
371,0.041474387
373,0.02618578
376,0.07472396
377,0.04636875
379,0.049011167
381,0.0398492
382,0.04168115
383,0.029652601
384,0.037858788
385,0.048429795
386,0.042623416
387,0.031020395
388,0.059369452
390,0.043853555
391,0.032307878
392,0.045964953
393,0.027771369
394,0.03373747
396,0.036908116
400,0.04571229
402,0.032153364
403,0.034304004
405,0.050160617
407,0.051547788
409,0.04515155
411,0.040971916
412,0.045525506
414,0.05498669
415,0.04394388
416,0.031576235
418,0.03621458
419,0.037875395
421,0.036596503
422,0.05693369
423,0.036786746
424,0.04304051
426,0.030599829
427,0.053495463
428,0.025483744
436,0.054793473
438,0.041131232
442,0.043554135
443,0.034586895
445,0.032883745
446,0.034046166
447,0.032784812
450,0.048737045
452,0.039089486
453,0.05364679
455,0.03576428
458,0.057480644
459,0.028287388
461,0.037823405
463,0.025574908
467,0.044320956
470,0.03915457
471,0.042549722
472,0.05303725
476,0.0631311
477,0.041139226
481,0.047648143
482,0.055253908
483,0.054599643
485,0.03856552
487,0.034385215
488,0.04330826
490,0.031680636
492,0.033149198
494,0.057703827
497,0.057505466
499,0.03268115
500,0.048706554
501,0.03165533
503,0.034054603
505,0.04190601
506,0.048568543
507,0.034154158
509,0.049739823
510,0.05146865
511,0.04337427
512,0.03683982
514,0.043477584
515,0.035542462
516,0.032630764
517,0.07472396
519,0.029193714
520,0.030840846
521,0.039345957
522,0.038265463
523,0.060566645
527,0.050121155
530,0.04999963
532,0.03949099
534,0.036444858
536,0.031700555
539,0.044636484
543,0.033821054
547,0.048831064
550,0.05771242
551,0.064826116
552,0.032722104
553,0.043427523
555,0.043113433
556,0.040116396
557,0.037794374
558,0.04294128
559,0.039489906
560,0.040860236
561,0.037746005
565,0.043689754
566,0.033399984
567,0.034909308
571,0.0456572
572,0.040152367
574,0.033058092
575,0.038419463
576,0.049401045
577,0.05083565
578,0.043680407
579,0.038766537
581,0.044810712
587,0.040227044
589,0.033298597
590,0.048380855
591,0.039072026
592,0.04696395
593,0.037316762
594,0.07472396
595,0.041531604
596,0.037321527
597,0.043183796
598,0.07472396
600,0.040164135
602,0.04028154
605,0.03683624
606,0.038068175
607,0.03018658
612,0.025689028
613,0.037746016
614,0.034285765
615,0.038838133
616,0.029770091
617,0.042632293
618,0.04804966
620,0.05252678
621,0.031967893
622,0.050228283
623,0.046880122
628,0.03819925
631,0.054405723
632,0.03110339
633,0.035359967
634,0.052917965
635,0.059186947
637,0.041227486
638,0.05494858
640,0.03149044
643,0.040202186
644,0.042344235
645,0.050498184
646,0.050743546
649,0.045345664
651,0.05134054
653,0.028705608
654,0.05463622
655,0.061738
656,0.045188364
658,0.04968425
659,0.025751993
661,0.041840445
662,0.04362955
663,0.027997792
664,0.043198932
665,0.051726542
667,0.044427484
668,0.05351669
671,0.0325298
673,0.04951727
674,0.046787877
675,0.034864806
676,0.053297885
677,0.03356102
678,0.027820747
679,0.0410598
680,0.04981046
681,0.04910106
682,0.038921125
683,0.032165587
684,0.049187444
686,0.053387027
687,0.050899867
688,0.04218091
690,0.030629367
691,0.04285734
692,0.06862607
693,0.061637852
694,0.044918887
695,0.030154787
696,0.03318357
698,0.0368254
699,0.046062298
702,0.036780257
703,0.033655986
705,0.057353485
706,0.039681748
707,0.046734314
708,0.026718244
709,0.05863668
710,0.04860724
713,0.033215217
714,0.04405563
715,0.048499182
716,0.07472396
717,0.045648616
718,0.04821664
719,0.036750667
720,0.06125407
721,0.028532814
723,0.036800418
724,0.047866356
726,0.0304329
728,0.07472396
730,0.032306194
732,0.03225576
734,0.03172787
735,0.049374327
737,0.045066252
738,0.05380814
741,0.044600155
742,0.050812323
743,0.03766824
746,0.032862645
747,0.04056679
749,0.04210754
750,0.055835783
752,0.060961504
755,0.03699036
757,0.03572792
758,0.04097186
759,0.047541246
765,0.052546203
766,0.040263906
767,0.07472396
768,0.038849555
769,0.037832666
770,0.036136523
771,0.041076414
772,0.03367455
773,0.041912884
775,0.044446647
776,0.048952796
778,0.043283362
779,0.05129643
780,0.034062274
782,0.040090848
783,0.049619183
784,0.03266711
785,0.040432166
786,0.0442528
788,0.037192117
789,0.04446113
792,0.045538574
793,0.039906245
794,0.05367626
797,0.038963
798,0.03253783
799,0.0488946
800,0.039579343
801,0.07472396
802,0.046019237
805,0.032394633
807,0.030487848
808,0.037662163
811,0.02817532
813,0.040860854
814,0.05571819
815,0.05661602
816,0.04350315
817,0.041264962
819,0.036922418
821,0.035330538
823,0.04103574
825,0.06660109
826,0.030183025
827,0.03484713
828,0.03173483
830,0.039674297
831,0.053167332
833,0.031941954
834,0.043355197
835,0.041940663
836,0.035054725
837,0.04684813
838,0.046917602
840,0.036095355
842,0.032702263
844,0.052094173
845,0.039431628
847,0.04716671
848,0.05096345
850,0.034766935
851,0.035968676
852,0.04025729
853,0.052427955
855,0.058848802
856,0.04344442
857,0.041075382
859,0.050962713
860,0.067278974
862,0.04640872
863,0.05287393
864,0.039995886
867,0.037782192
868,0.037995566
869,0.0444764
871,0.031211453
873,0.04563653
875,0.0638793
876,0.04369143
877,0.04073443
879,0.06143337
880,0.07472396
883,0.051950593
884,0.04130544
885,0.037716746
886,0.0314759
887,0.037166618
888,0.049792994
891,0.0470485
893,0.031187696
895,0.051257305
897,0.044723164
898,0.063681625
901,0.04453833
902,0.049961016
904,0.059592225
905,0.032314125
907,0.050493028
908,0.03227551
909,0.04612415
910,0.035491046
911,0.03196315
913,0.059368715
914,0.03901714
915,0.07472396
916,0.041726246
917,0.04123014
919,0.03313329
920,0.042511925
923,0.033574607
924,0.028128857
925,0.042959433
926,0.033619516
928,0.04227526
929,0.03413833
932,0.040698968
935,0.049518283
936,0.0480004
937,0.033434518
938,0.05539082
939,0.033814453
940,0.056047216
941,0.039640248
944,0.041868255
945,0.04250059
946,0.06205345
947,0.04685551
949,0.03948827
950,0.040916204
952,0.045816865
953,0.04858401
955,0.034793686
956,0.0386314
957,0.026778266
960,0.024582364
961,0.043209538
962,0.050067745
963,0.033473585
964,0.059929006
967,0.03440408
975,0.060102288
976,0.033065323
977,0.04148163
978,0.044670064
980,0.03665286
985,0.040064976
986,0.057768524
987,0.034222245
989,0.035895612
992,0.035402138
994,0.040014546
995,0.055409852
996,0.030765545
997,0.04935346
998,0.034980208
999,0.045365684
1000,0.039568186
1004,0.04366458
1005,0.07472396
1006,0.05133217
1007,0.05031778
1010,0.034961082
1011,0.061544202
1012,0.029116936
1013,0.044915654
1014,0.045854524
1016,0.05100256
1018,0.058224175
1019,0.03363177
1020,0.040823705
1022,0.04686144
1023,0.03660132
1024,0.043514304
1025,0.040735543
1029,0.039056234
1031,0.03607622
1032,0.035863444
1033,0.044945944
1034,0.05567161
1035,0.053963564
1036,0.036574412
1037,0.027809208
1038,0.030316183
1039,0.039826177
1041,0.031727817
1043,0.040170714
1049,0.05169531
1050,0.07472396
1051,0.039377857
1052,0.048297174
1053,0.03623857
1054,0.056273762
1056,0.03854408
1057,0.07472396
1060,0.07472396
1061,0.032897107
1062,0.04533681
1063,0.05383955
1064,0.033485994
1065,0.030242264
1066,0.033579856
1068,0.056685686
1073,0.045379046
1075,0.028300256
1079,0.031721007
1081,0.040311076
1083,0.034629084
1085,0.038155116
1086,0.031648625
1087,0.034263644
1088,0.041748483
1089,0.03034024
1090,0.052359182
1091,0.04753605
1092,0.043523148
1095,0.038907427
1098,0.047314186
1099,0.049349423
1100,0.046925962
1101,0.053988926
1103,0.046743173
1104,0.046704054
